,D614G_IC50,BA1_IC50,BA2_IC50,BA3_IC50,SARS_IC50,BA1_1_IC50,BA2_12_1_IC50,BA2_75_IC50,BA5_IC50,BF7_IC50,BA2_13_IC50,BQ1_1_IC50,XBB_IC50,XBB1_5_IC50,XBB1_5_10_IC50,BA5_ELISA_compete_level,paper_reactivity,source,group
BD30-604,0.011,0.285,0.219,0.2591,10,0.1983,0.201,5.92,6.26,NA,0.1478,10,10,10,10,--,WT,WT convalescents,A1
BD45-21,0.0532,7.12,8.53,7.8332,10,6.3242,7.62,1.73,7.12,NA,6.902,10,10,10,10,--,WT,WT convalescents,A1
BD45-70,0.0015,10,0.543,10,10,10,0.6393,10,0.889,NA,0.5545,10,10,10,10,--,WT,WT convalescents,D2
BD45-105,0.574,2.56,2.7,1.6367,10,2.2312,2.532,2.1,2.79,NA,3.0024,1.89,3.62,4.81,NA,--,WT,WT convalescents,E3
BD45-145,0.0054,0.0628,0.792,1.2896,1.1641,0.8429,0.7325,10,0.704,NA,NA,10,10,10,10,--,WT,WT convalescents,D3
BD45-147,0.0655,0.227,0.314,0.2266,10,0.2107,1.4326,0.192,2.25,NA,0.1982,10,10,10,10,--,WT,WT convalescents,E1/E2.1
BD45-152,0.001,0.001,0.000869,0.001091,10,0.001774,0.001,0.00221,0.000862,NA,0.001,1.31,10,10,10,--,WT,WT convalescents,D2
BD45-158,0.471,10,0.931,10,10,10,1.1524,10,0.973,NA,0.8391,10,10,10,10,--,WT,WT convalescents,D2
BD45-228,0.00237,0.00485,0.0045,0.0083,10,NA,0.00357,0.003,0.18,NA,NA,0.581,10,10,10,--,WT,WT convalescents,A1
BD45-231,0.0217,0.0701,0.115,0.08389,10,NA,0.09833,10,0.0427,NA,NA,10,10,10,10,--,WT,WT convalescents,A1
BD45-277,0.579,3.6,2.78,2.365,10,NA,1.7743,1.87,3.79,NA,NA,10,10,10,10,--,WT,WT convalescents,F1
BD55-1205,0.00331,0.0052,0.00551,0.00745,10,0.02047,0.00411,0.00413,0.00348,NA,NA,0.00933,0.00635,0.00578,0.007297,0.690795781,WT,WT convalescents,A1
BD55-3372,0.0068,0.0203,0.0322,0.009128,0.0008175,0.01405,0.0133,0.0321,0.0148,NA,0.01637,0.0231,0.012,0.0187,0.03053,--,WT,SARS convalescents,F3
BD55-4637,0.0201,0.0227,0.0225,0.01512,0.003673,0.0397,0.02532,0.0302,0.0243,NA,0.01923,0.0189,0.0277,0.023,0.0391,--,WT,SARS convalescents,D4
BD55-5483,0.0138,0.00647,0.0133,0.006813,0.001308,0.005192,0.008285,0.00183,0.00394,NA,0.008051,0.00284,0.00436,0.00743,0.003111,--,WT,SARS convalescents,F3
BD55-5514,0.0107,0.00169,0.00722,0.007127,0.0009107,0.003018,0.005177,0.00434,0.00504,NA,0.00593,0.00478,0.00598,0.00613,0.00491,--,WT,SARS convalescents,F3
BD55-5840,0.001,0.0044,0.00512,0.00812,0.005609,0.0045,0.005019,0.246,0.00393,NA,0.00487,0.651,10,10,10,--,WT,SARS convalescents,D3
CP-mh-0224,0.0114,0.00394,0.00593,NA,0.001005,NA,NA,0.01769,0.0065,NA,NA,0.00546,0.0202,0.0365,NA,--,WT,WT mouse,F3
CP-mh-0266,0.00993,0.00488,0.00678,NA,0.001198,NA,NA,0.02598,0.00697,NA,NA,0.00378,0.0198,0.0371,NA,--,WT,WT mouse,F3
CP0199,10,10,NA,NA,10,NA,NA,NA,NA,NA,NA,1.18,0.291,0.58,NA,0.45769445,specific,BA.1 convalescents,D3
CP0200,10,0.00359,NA,NA,10,NA,NA,NA,NA,NA,NA,0.000505,0.0793,0.111,NA,0,specific,BA.1 convalescents,C/D1
CP0206,10,0.0339,NA,NA,10,NA,NA,NA,NA,NA,NA,1.01,0.0445,0.0297,NA,0.611044185,specific,BA.1 convalescents,D4
CP0207,10,0.00327,NA,NA,10,NA,NA,NA,NA,NA,NA,0.00886,0.0674,0.0646,NA,0.796799103,specific,BA.1 convalescents,D3
CP0265,10,0.00175,NA,NA,10,NA,NA,NA,NA,NA,NA,0.0184,0.124,0.288,NA,0.772889641,specific,BA.1 convalescents,D3
CP0278,10,0.00546,NA,NA,10,NA,NA,NA,NA,NA,NA,0.256,0.0238,0.0192,NA,0.534106546,specific,BA.1 convalescents,D3
CP0280,10,0.513,NA,NA,10,NA,NA,NA,NA,NA,NA,1.62,1.03,2.22,NA,0.192771562,specific,BA.1 convalescents,D3
CP0352,10,0.00461,NA,NA,10,NA,NA,NA,NA,NA,NA,0.0123,0.00758,0.012,NA,0.349196726,specific,BA.1 convalescents,D4
CP0365,10,0.000501,NA,NA,10,NA,NA,NA,NA,NA,NA,0.0246,0.48,1.2,NA,0.619724376,specific,BA.1 convalescents,C/D1
CP0427,10,10,0.00167,NA,10,NA,NA,0.747,0.00542,NA,NA,0.599,0.973,0.639,NA,0.334720121,specific,BA.2 convalescents,F3
CP0430,10,10,0.0208,NA,10,NA,NA,0.11,0.0162,NA,NA,0.0649,0.157,0.218,NA,0.82377774,specific,BA.2 convalescents,F3
CP0459,10,0.00434,0.000581,NA,10,NA,NA,0.0023,10,NA,NA,0.00111,0.00342,0.00244,NA,0.863298081,specific,BA.2 convalescents,F3
CP0497,10,0.118,0.177,NA,10,NA,NA,0.328,0.193,NA,NA,0.326,0.16,0.388,NA,0.348902121,specific,BA.2 convalescents,D4
CP0499,10,10,0.00449,NA,10,NA,NA,0.247,0.141,NA,NA,0.54,0.412,0.21,NA,0.629833796,specific,BA.2 convalescents,F3
CP0513,10,10,0.000655,NA,10,NA,NA,0.0971,0.00122,NA,NA,0.0307,0.135,0.277,NA,0.395462167,specific,BA.2 convalescents,F3
CP0516,10,10,0.000647,NA,10,NA,NA,0.0018,0.00056,NA,NA,0.00111,0.00716,0.0153,0.01656,0.820121704,specific,BA.2 convalescents,F3
CP0537,10,0.0804,0.00112,NA,10,NA,NA,0.0149,0.00375,NA,NA,0.0114,0.0117,0.0262,0.1023,0.946324482,specific,BA.2 convalescents,F3
CP0590,10,10,10,NA,NA,NA,NA,10,10,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,F1
CP0592,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,10,10,10,0.112311747,--,BA.5 convalescents,A1
GC0021,0.0169,0.0127,0.0139,0.01086,10,0.01412,0.01271,0.0242,0.0108,NA,0.009852,0.191,0.171,0.154,NA,--,cross,BA.1 convalescents,A1
GC0027,0.0143,0.0212,0.0161,0.01453,10,0.01503,0.0143,0.0298,0.0139,NA,0.01424,0.162,0.12,0.296,NA,--,cross,BA.1 convalescents,A1
GC0033,0.0236,0.0121,0.00899,0.007825,10,0.008339,0.006921,0.00819,0.00771,NA,0.007154,0.0081,0.0152,0.0128,0.1006,--,cross,BA.1 convalescents,A1
GC0056,0.00303,0.00111,0.00125,0.00265,10,0.001,0.00118,0.00105,0.12,NA,0.001535,0.0756,0.171,0.0714,NA,--,cross,BA.1 convalescents,B
GC0066,1.01,1.02,1.27,3.8909,10,1.0187,1.5279,1.05,0.996,NA,1.2695,1.18,0.959,0.359,NA,0.686741847,cross,BA.1 convalescents,F1
GC0101,0.096,0.0499,0.0202,NA,10,NA,NA,0.0309,0.917,NA,NA,10,6.06,10,10,0,cross,BA.5 convalescents,E2.2
GC0102,10,2.6,4.86,NA,NA,NA,NA,4.47,4.68,NA,NA,10,4.85,9.86,NA,0.110309679,cross,BA.5 convalescents,E2.2
GC0103,0.00186,0.00313,0.00297,NA,10,NA,NA,0.00178,0.962,NA,NA,10,10,10,10,0.282754279,cross,BA.5 convalescents,B
